Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name, Sales ,Quantity,Discount, Profit ,Cluster,Customer Category
23,CA-2019-137330,12/9/2019,12/13/2019,Standard Class,KB-16585,Ken Black,Corporate,Fremont,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",$60.34 ,7,0%,$15.69 ,0,Moderate
24,US-2020-156909,7/16/2020,7/18/2020,Second Class,SF-20065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",$71.37 ,2,30%,($1.02),0,Moderate
25,CA-2018-106320,9/25/2018,9/30/2018,Standard Class,EB-13870,Emily Burns,Consumer,Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,"$1,044.63 ",3,0%,$240.26 ,0,Moderate
26,CA-2019-121755,1/16/2019,1/20/2019,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,$11.65 ,2,20%,$4.22 ,0,Moderate
27,CA-2019-121755,1/16/2019,1/20/2019,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,$90.57 ,3,0%,$11.77 ,0,Moderate
28,US-2018-150630,9/17/2018,9/21/2018,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","$3,083.43 ",7,50%,"($1,665.05)",2,Unprofitable
29,US-2018-150630,9/17/2018,9/21/2018,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,$9.62 ,2,70%,($7.05),2,Unprofitable
30,US-2018-150630,9/17/2018,9/21/2018,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",$124.20 ,3,20%,$15.52 ,0,Moderate
31,US-2018-150630,9/17/2018,9/21/2018,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,$3.26 ,2,20%,$1.10 ,0,Moderate
32,US-2018-150630,9/17/2018,9/21/2018,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",$86.30 ,6,20%,$9.71 ,0,Moderate
33,US-2018-150630,9/17/2018,9/21/2018,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",$6.86 ,6,70%,($5.72),2,Unprofitable
34,US-2018-150630,9/17/2018,9/21/2018,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,$15.76 ,2,20%,$3.55 ,0,Moderate
35,CA-2020-107727,10/19/2020,10/23/2020,Second Class,MA-17560,Matt Abelman,Home Office,Houston,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,$29.47 ,3,20%,$9.95 ,0,Moderate
36,CA-2019-117590,12/8/2019,12/10/2019,First Class,GH-14485,Gene Hale,Corporate,Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,"$1,097.54 ",7,20%,$123.47 ,0,Moderate
37,CA-2019-117590,12/8/2019,12/10/2019,First Class,GH-14485,Gene Hale,Corporate,Richardson,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",$190.92 ,5,60%,($147.96),2,Unprofitable
38,CA-2018-117415,12/27/2018,12/31/2018,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",$113.33 ,9,20%,$35.42 ,0,Moderate
39,CA-2018-117415,12/27/2018,12/31/2018,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",$532.40 ,3,32%,($46.98),0,Moderate
40,CA-2018-117415,12/27/2018,12/31/2018,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",$212.06 ,3,30%,($15.15),0,Moderate
41,CA-2018-117415,12/27/2018,12/31/2018,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,$371.17 ,4,20%,$41.76 ,0,Moderate
42,CA-2020-120999,9/10/2020,9/15/2020,Standard Class,LC-16930,Linda Cazamias,Corporate,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,$147.17 ,4,20%,$16.56 ,0,Moderate
43,CA-2019-101343,7/17/2019,7/22/2019,Standard Class,RA-19885,Ruben Ausman,Corporate,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",$77.88 ,2,0%,$3.89 ,0,Moderate
44,CA-2020-139619,9/19/2020,9/23/2020,Standard Class,ES-14080,Erin Smith,Corporate,Melbourne,Florida,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",$95.62 ,2,20%,$9.56 ,0,Moderate
45,CA-2019-118255,3/11/2019,3/13/2019,First Class,ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",$45.98 ,2,0%,$19.77 ,0,Moderate
46,CA-2019-118255,3/11/2019,3/13/2019,First Class,ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,$17.46 ,2,0%,$8.21 ,0,Moderate
47,CA-2017-146703,10/20/2017,10/25/2017,Second Class,PO-18865,Patrick O'Donnell,Consumer,Westland,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",$211.96 ,4,0%,$8.48 ,0,Moderate
48,CA-2019-169194,6/20/2019,6/25/2019,Standard Class,LH-16900,Lena Hernandez,Consumer,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$45.00 ,3,0%,$4.95 ,0,Moderate
49,CA-2019-169194,6/20/2019,6/25/2019,Standard Class,LH-16900,Lena Hernandez,Consumer,Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",$21.80 ,2,0%,$6.10 ,0,Moderate
50,CA-2018-115742,4/18/2018,4/22/2018,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",$38.22 ,6,0%,$17.96 ,0,Moderate
51,CA-2018-115742,4/18/2018,4/22/2018,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,$75.18 ,6,0%,$35.33 ,0,Moderate
52,CA-2018-115742,4/18/2018,4/22/2018,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,$6.16 ,2,0%,$2.96 ,0,Moderate
53,CA-2018-115742,4/18/2018,4/22/2018,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",$89.99 ,1,0%,$17.10 ,0,Moderate
54,CA-2019-105816,12/11/2019,12/17/2019,Standard Class,JM-15265,Janet Molinari,Corporate,New York City,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,$15.26 ,7,0%,$6.26 ,0,Moderate
55,CA-2019-105816,12/11/2019,12/17/2019,Standard Class,JM-15265,Janet Molinari,Corporate,New York City,New York,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,"$1,029.95 ",5,0%,$298.69 ,0,Moderate
56,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,$208.56 ,6,0%,$52.14 ,0,Moderate
57,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,$32.40 ,5,0%,$15.55 ,0,Moderate
58,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,$319.41 ,5,10%,$7.10 ,0,Moderate
59,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",$14.56 ,2,0%,$6.99 ,0,Moderate
60,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$30.00 ,2,0%,$3.30 ,0,Moderate
61,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,$48.48 ,4,20%,$16.36 ,0,Moderate
62,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,$1.68 ,1,0%,$0.84 ,0,Moderate
63,CA-2018-135545,11/24/2018,11/30/2018,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",$13.98 ,2,0%,$6.15 ,0,Moderate
64,CA-2018-135545,11/24/2018,11/30/2018,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",$25.82 ,6,20%,$9.36 ,0,Moderate
65,CA-2018-135545,11/24/2018,11/30/2018,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,$146.73 ,3,0%,$68.96 ,0,Moderate
66,CA-2018-135545,11/24/2018,11/30/2018,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,$79.76 ,4,0%,$22.33 ,0,Moderate
67,US-2018-164175,4/30/2018,5/5/2018,Standard Class,PS-18970,Paul Stevenson,Home Office,Chicago,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",$213.11 ,5,30%,($15.22),0,Moderate
68,CA-2017-106376,12/5/2017,12/10/2017,Standard Class,BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","$1,113.02 ",8,20%,$111.30 ,0,Moderate
69,CA-2017-106376,12/5/2017,12/10/2017,Standard Class,BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,$167.97 ,4,20%,$62.99 ,0,Moderate
70,CA-2019-119823,6/4/2019,6/6/2019,First Class,KD-16270,Karen Daniels,Consumer,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",$75.88 ,2,0%,$35.66 ,0,Moderate
71,CA-2019-106075,9/18/2019,9/23/2019,Standard Class,HM-14980,Henry MacAllister,Consumer,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,$4.62 ,1,20%,$1.73 ,0,Moderate
72,CA-2020-114440,9/14/2020,9/17/2020,Second Class,TB-21520,Tracy Blumstein,Consumer,Jackson,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",$19.05 ,3,0%,$8.76 ,0,Moderate
73,US-2018-134026,4/26/2018,5/2/2018,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,$831.94 ,8,20%,($114.39),0,Moderate
74,US-2018-134026,4/26/2018,5/2/2018,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",$97.04 ,2,20%,$1.21 ,0,Moderate
75,US-2018-134026,4/26/2018,5/2/2018,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,$72.78 ,1,20%,($18.20),0,Moderate
76,US-2020-118038,12/9/2020,12/11/2020,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,$1.25 ,3,80%,($1.93),2,Unprofitable
77,US-2020-118038,12/9/2020,12/11/2020,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",$9.71 ,3,60%,($5.82),2,Unprofitable
78,US-2020-118038,12/9/2020,12/11/2020,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",$27.24 ,3,20%,$2.72 ,0,Moderate
79,US-2017-147606,11/26/2017,12/1/2017,Second Class,JE-15745,Joel Eaton,Consumer,Houston,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",$19.30 ,5,60%,($14.48),2,Unprofitable
80,CA-2019-127208,6/12/2019,6/15/2019,First Class,SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",$208.16 ,1,0%,$56.20 ,0,Moderate
81,CA-2019-127208,6/12/2019,6/15/2019,First Class,SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,$16.74 ,3,0%,$8.04 ,0,Moderate
82,CA-2017-139451,10/12/2017,10/16/2017,Standard Class,DN-13690,Duane Noonan,Consumer,San Francisco,California,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",$14.90 ,5,0%,$4.17 ,0,Moderate
83,CA-2017-139451,10/12/2017,10/16/2017,Standard Class,DN-13690,Duane Noonan,Consumer,San Francisco,California,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",$21.39 ,1,0%,$6.20 ,0,Moderate
84,CA-2018-149734,9/3/2018,9/8/2018,Standard Class,JC-16105,Julie Creighton,Corporate,Durham,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,$200.98 ,7,20%,$62.81 ,0,Moderate
85,US-2020-119662,11/13/2020,11/16/2020,First Class,CS-12400,Christopher Schild,Home Office,Chicago,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,$230.38 ,3,20%,($48.95),0,Moderate
86,CA-2020-140088,5/28/2020,5/30/2020,Second Class,PO-18865,Patrick O'Donnell,Consumer,Columbia,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,$301.96 ,2,0%,$33.22 ,0,Moderate
87,CA-2020-155558,10/26/2020,11/2/2020,Standard Class,PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,$19.99 ,1,0%,$6.80 ,0,Moderate
88,CA-2020-155558,10/26/2020,11/2/2020,Standard Class,PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,$6.16 ,2,0%,$2.96 ,0,Moderate
89,CA-2019-159695,4/5/2019,4/10/2019,Second Class,GM-14455,Gary Mitchum,Home Office,Houston,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,$158.37 ,7,20%,$13.86 ,0,Moderate
90,CA-2019-109806,9/17/2019,9/22/2019,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,$20.10 ,3,0%,$6.63 ,0,Moderate
91,CA-2019-109806,9/17/2019,9/22/2019,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,$73.58 ,2,20%,$8.28 ,0,Moderate
92,CA-2019-109806,9/17/2019,9/22/2019,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,$6.48 ,1,0%,$3.11 ,0,Moderate
93,CA-2018-149587,1/31/2018,2/5/2018,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,$12.96 ,2,0%,$6.22 ,0,Moderate
94,CA-2018-149587,1/31/2018,2/5/2018,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",$53.34 ,3,0%,$16.54 ,0,Moderate
95,CA-2018-149587,1/31/2018,2/5/2018,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,$32.96 ,2,0%,$16.15 ,0,Moderate
96,US-2020-109484,11/6/2020,11/12/2020,Standard Class,RB-19705,Roger Barcio,Home Office,Portland,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,$5.68 ,1,70%,($3.79),2,Unprofitable
97,CA-2020-161018,11/9/2020,11/11/2020,Second Class,PN-18775,Parhena Norris,Home Office,New York City,New York,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,$96.53 ,7,0%,$40.54 ,0,Moderate
98,CA-2020-157833,6/17/2020,6/20/2020,First Class,KD-16345,Katherine Ducich,Consumer,San Francisco,California,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,$51.31 ,3,20%,$17.96 ,0,Moderate
99,CA-2019-149223,9/6/2019,9/11/2019,Standard Class,ER-13855,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,$77.88 ,6,0%,$22.59 ,0,Moderate
100,CA-2019-158568,8/29/2019,9/2/2019,Standard Class,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,$64.62 ,7,20%,$22.62 ,0,Moderate
101,CA-2019-158568,8/29/2019,9/2/2019,Standard Class,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,$95.98 ,3,20%,($10.80),0,Moderate
102,CA-2019-158568,8/29/2019,9/2/2019,Standard Class,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,$1.79 ,3,80%,($3.04),2,Unprofitable
103,CA-2019-129903,12/1/2019,12/4/2019,Second Class,GZ-14470,Gary Zandusky,Consumer,Rochester,Minnesota,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),$23.92 ,4,0%,$11.72 ,0,Moderate
